Tweet_id,User_name,Screen_name,Tweet_text,Language,Hashtags,Created_at,Search_keyword
1658132620436275200,Quiver Quantitative,QuiverQuant,"Their largest holdings are:
~$1.7B of Novo Nordisk ( $NVO )
~$929M of Amazon ( $AMZN )
~$878M of Gilead Sciences ( $GILD )
~$835M of Tesla ( $TSLA )
~$753M of AirBnB ( $ABNB ) https://t.co/Vq1x2QBuIl",en,[],2023-05-15 15:29:57+00:00,Novo Nordisk
1375239473882046464,Rep. Katie Porter,RepKatiePorter,"Just 3 companies control nearly all of our insulin supply: Eli Lilly, Sanofi, and Novo Nordisk. Shocker: it turns out they raise prices in tandem—at least 13x in 10 years—while patients are rationing or starving themselves to try to cut costs. I want answers. https://t.co/AtkH3OonTs",en,[],2021-03-26 00:13:35+00:00,Novo Nordisk
1848902349991121269,Calley Means,calleymeans,"I’m floored. 

The USDA Nutrition Guidelines Committee previewed their new guidance today on an internal zoom. 

A CORE principle is “REDUCING focus on chronic disease reduction.” 

Committee members are paid by Novo Nordisk, Eli Lilly, Abbott, and Mars. 

This must be disbanded. https://t.co/LTWcxpaHhO",en,[],2024-10-23 01:40:45+00:00,Novo Nordisk
1861817308768874820,CTV News,CTVNews,Canada approves Novo Nordisk's obesity drug to reduce risk of non-fatal heart attack https://t.co/IeAJxy8aoW,en,[],2024-11-27 17:00:11+00:00,Novo Nordisk
1826728662013804544,Michael Burry Stock Tracker ♟,burrytracker,"#5 Jim Simons (RIP) - Renaissance

Earnings: $1.3 Billion 

Current top 3 holdings:

Novo Nordisk $NVO, Palantir $PLTR, Nvidia $NVDA https://t.co/fEVftkH93S",en,[],2024-08-22 21:10:26+00:00,Novo Nordisk
1859987775971328204,Streetinsider.com,Street_Insider,"Barclays says buy Novo Nordisk $NVO stock 'into this critically important catalyst'
https://t.co/1QfrAJAlED https://t.co/MHad1mW1O3",en,[],2024-11-22 15:50:17+00:00,Novo Nordisk
1860823890311917904,Washington #insulin4all,WAinsulin4all,"Last week for #WorldDiabetesDay we protested @novonordisk &amp; their recent move to stop selling #insulin  to the millions with #diabetes in #SouthAfrica 🇿🇦 

@t1international &amp; #insulin4all advocates came together in #Seattle

We ration as they profiteer &amp; extort https://t.co/hadgtpMcuc",en,"['WorldDiabetesDay', 'insulin', 'diabetes', 'SouthAfrica', 'insulin4all', 'Seattle']",2024-11-24 23:12:42+00:00,Novo Nordisk
1858574280109314326,Fast Company,FastCompany,"State Medicaid programs for low-income families are the single biggest source of coverage for weight-loss drugs, giving 31.6 million people access to Novo Nordisk's Wegovy or Eli Lilly's Zepbound. https://t.co/q3ZUrf50lw",en,[],2024-11-18 18:13:33+00:00,Novo Nordisk
1852085639069479215,60 Minutes,60Minutes,"Denmark—home to some of the world's wealthiest and healthiest people—is now home to Europe's largest company, Novo Nordisk. The company's weight loss wonder drugs Ozempic and Wegovy have slimmed down millions while adding great heft to the Danish economy. Sunday. https://t.co/u5XMsbG1lX",en,[],2024-10-31 20:30:01+00:00,Novo Nordisk
1861683104064368672,Novo Nordisk Foundation,novonordiskfond,"Join us for the last episode of our 4-part series marking the 100th anniversary of the Novo Nordisk Foundation in 2024.

Pandemics, energy crises, the explosion of cardiometabolic diseases, the climate crisis and humanitarian needs because of war and famine. With all these https://t.co/5ybQcT42nR",en,"['health', 'innovation', 'medicine', 'diabetes', 'history', 'anniversary']",2024-11-27 08:06:55+00:00,Novo Nordisk
