Tweet_id,User_name,Screen_name,Tweet_text,Language,Hashtags,Created_at,Search_keyword
1861969494194917446,Faraaz Hsn,EastVanEpic,#FSD finally available in 🇨🇦 on the Cybertruck! Thanks @elonmusk https://t.co/4a77M0xIIP,en,['FSD'],2024-11-28 03:04:55+00:00,Cybertruck FSD
1840568023721341005,Whole Mars Catalog,WholeMarsBlog,FSD 12.5.5 on Cybertruck shipping now to early access https://t.co/3N4UsB7Nq4,en,[],2024-09-30 01:43:07+00:00,Cybertruck FSD
1860700444579766567,Joseph,ScarantinoX,"POV: You’re riding shotgun in a Cybertruck on a cross-country road trip. The sound system is blasting, you’re scrolling 𝕏 via Starlink, and FSD has been driving smoothly since LA. https://t.co/0WAJpwx6NZ",en,[],2024-11-24 15:02:10+00:00,Cybertruck FSD
1861299012583710744,Sawyer Merritt,SawyerMerritt,"A list of all the promotions @Tesla is currently running in the U.S.

• 3 free months of FSD (Supervised) &amp; Supercharging (take delivery by Dec 31)
• Up to $2,000 off any new vehicle purchase with referral link
• Free FSD transfer for Model S/3/X/Y &amp; Cybertruck (take delivery https://t.co/c8hkpTIsnG",en,[],2024-11-26 06:40:40+00:00,Cybertruck FSD
1860695953331601570,Zack,BLKMDL3,"ONE THOUSAND MILES so far with ZERO disengagements (except supercharger parking lots) on FSD v12.5.5.3 on Cybertruck. 

Drove Los Angeles to Vail, Colorado yesterday and now going to Iowa today and FSD has performed near flawlessly. I can’t believe how smooth the lane changes https://t.co/nje6HKQVNm",en,[],2024-11-24 14:44:19+00:00,Cybertruck FSD
1860486327814217907,Chansoo Byeon,ByeonChansoo,"here is a video of Cybertruck driving around Downtown Toronto 🇨🇦 - no FSD on Cybertrucks (coming soon) so i got to enjoy the steer-by-wire for hours and can confirm it's the best thing on a vehicle. here are my takeaways: 

• Cybertruck size is perfect. Downtown Toronto has https://t.co/0CWmkbDX4t",en,[],2024-11-24 00:51:21+00:00,Cybertruck FSD
1845062329353830668,Jon Erlichman,JonErlichman,"Some things Tesla has unveiled:

2024: Cybercab
2024: Robovan
2022: Optimus
2020: FSD
2019: Cybertruck
2019: Model Y
2019: Megapack
2017: Semi
2016: Solar Panels
2016: Solar Roof
2016: Model 3
2015: Powerwall
2012: Supercharger
2012: Model X
2009: Model S
2006: Roadster",en,[],2024-10-12 11:21:53+00:00,Cybertruck FSD
1859391349541531651,Zack,BLKMDL3,"I bought a Cybertruck!

Say hello to my @cybertruck! I’ve had the truck for a while and it’s amazing. No vehicle on the road is like it, steer by wire is revolutionary- it’s like driving the future especially with FSD

First cross country trip begins this week!

@elonmusk @Tesla https://t.co/ytCMpIIx1z",en,[],2024-11-21 00:20:18+00:00,Cybertruck FSD
1861607949036056865,Mantx 🇨🇦🇺🇸,ktm0001,"More FSD for Cybertruck in Canada. 
@DriveTeslaca https://t.co/01Xd3BysEJ",en,[],2024-11-27 03:08:16+00:00,Cybertruck FSD
1860748979757064405,LilHumansBigImpact,BigImpactHumans,"Finishing up an FSD drive with the Cybertruck parking itself. 

I’ll never get over how cool this is! https://t.co/ucuNzGrQ9a",en,[],2024-11-24 18:15:02+00:00,Cybertruck FSD
1857278512974971119,Sawyer Merritt,SawyerMerritt,"NEWS: As of tonight, Tesla is offering 3 free months of Supercharging and 3 free months of FSD (Supervised) for new inventory orders in North America delivered by the end of this year.

All S3XY cars and the Cybertruck are eligible. https://t.co/4DFsM4h6sI",en,[],2024-11-15 04:24:38+00:00,Cybertruck FSD
1860484004593696800,Joseph,ScarantinoX,"FSD v12.5.5.3 in the Cybertruck is fucking amazing. Been using it the past 600 miles it’s been 0 disengagement. Even the curvy roads are handled perfectly.

Great job @Tesla_AI! https://t.co/U1PY4V5O8f",en,[],2024-11-24 00:42:07+00:00,Cybertruck FSD
1861021741306233161,Darryn Appleton,DrTeslaFSD,"🚨Cybertruck FSD 12.5.5.3 fail 🚨

I was mostly very impressed with my first drive on this version, but in this video we see a critical safety disengagement. 
Approaching the traffic light, it clearly goes orange about when the lead car gets there. 
The Cybertruck didn’t even try https://t.co/alWEavuWVB",en,[],2024-11-25 12:18:53+00:00,Cybertruck FSD
1817646432955887947,Jowua,JowuaLife,"Elon just said FSD on Cybertruck will roll out in August, so about two weeks. https://t.co/wu3CZRzRQO",en,[],2024-07-28 19:40:54+00:00,Cybertruck FSD
1860939984196264381,Zack,BLKMDL3,"1,800+ miles so far since yesterday from CA to Iowa and I’m loving my Cybertruck, it’s a great road tripper

Only two disengagements with FSD, only driving I’ve done is in parking lots.

Solid range, suspension, super accurate trip planner, software and a phenomenal sound system. https://t.co/1ZesWR0AL8",en,[],2024-11-25 06:54:01+00:00,Cybertruck FSD
1841984823763533887,TheSonOfWalkley,TheSonOfWalkley,"BREAKING: ZERO INTERVENTION DRIVE WITH $TSLA FSD V12.5.5 ON CYBERTRUCK 👀

This is truly the ultimate car !

 https://t.co/LCQLY2fXFu",en,[],2024-10-03 23:32:59+00:00,Cybertruck FSD
1860544094377800170,Phil Criminale,pcriminale,1100/1600miles in…. @cybertruck with FSD  might have only actually driven 💯 miles tops. Truck doing great 435 Wh/mile  super charger network makes it easy. https://t.co/JTYC4A03Yp,en,[],2024-11-24 04:40:53+00:00,Cybertruck FSD
1861864276992082206,Bobby Brar,U_cutz,Tried FSD first time in my cybertruck today. I disengagement due to the truck driving through a solid yellow line and trying to turn onto an imaginary street. One street shy of the correct entry to my neighbourhood. Will try the same route multiple times to see what happens. https://t.co/kXEIYwp9QF,en,"['fsd', 'cybertruck', 'canada']",2024-11-27 20:06:50+00:00,Cybertruck FSD
1860722760584167869,Raines,raines1220,"Wait until the posts surpass ~600. I’ll conduct some analysis on the Cybertruck, likely a cross-version analysis of issues and sentiment for all FSD 12.5.5.X versions. I believe this is quite important, as it provides a glimpse into a future where other automakers might either https://t.co/pLZFE211S4",en,[],2024-11-24 16:30:51+00:00,Cybertruck FSD
1862156319148376177,Karan Singh 🇨🇦,Karanx_,"FSD V12.5.5.3 -  🇨🇦📐FSD - First Thoughts
Finally received FSD on my Foundation Series AWD Cybertruck last night! Time for another of these reviews.

Handling/Comfort
- Acceleration is super smooth, super relaxed. Easily keeps up with other traffic, but doesn't slam on the https://t.co/QOJih0TjgL",en,[],2024-11-28 15:27:18+00:00,Cybertruck FSD
1857281806942543996,Cole Grinde,GrindeOptions,"BREAKING NEWS: $TSLA is offering 3 free months of Supercharging and 3 free months of FSD on all SEXY plus Cybertruck vehicles. 

This is a HUGE DEAL. https://t.co/1ZpCcZcUNt",en,[],2024-11-15 04:37:44+00:00,Cybertruck FSD
1859383013437784326,Darryn Appleton,DrTeslaFSD,"Witnessed a fender bender this AM.
Watch the Honda in the lane to the left. 
Seems like they were a bit too eager to get going and basically low speed rammed the Prius. Inexplicable.
I was on FSD in the Cybertruck.
The bar for FSD to be superior to humans is quite low.
Humans are https://t.co/wzDXleZk3X",en,[],2024-11-20 23:47:10+00:00,Cybertruck FSD
1860753254994395513,Dare W,darewecan,"Cybertruck Canada with FSD (Supervised) v12.5.5.3 handling 3 roundabouts, including a new unmapped one under construction, with ease. https://t.co/sDFS89TI00",en,[],2024-11-24 18:32:01+00:00,Cybertruck FSD
